Variable,Protein,Protein_meaning,Protein_panel
drg2,DRG2,Developmentally-regulated GTP-binding protein 2,Oncology
dsc2,DSC2,Desmocollin-2,Neurology
dscam,DSCAM,Down syndrome cell adhesion molecule,Neurology_II
dsg2,DSG2,Desmoglein-2,Neurology
dsg3,DSG3,Desmoglein-3,Oncology
dsg4,DSG4,Desmoglein-4,Oncology
dtd1,DTD1,D-aminoacyl-tRNA deacylase 1,Inflammation_II
dtnb,DTNB,Dystrobrevin beta,Oncology_II
dtx2,DTX2,Probable E3 ubiquitin-protein ligase DTX2,Neurology_II
dtx3,DTX3,Probable E3 ubiquitin-protein ligase DTX3,Oncology
dtymk,DTYMK,Thymidylate kinase,Cardiometabolic_II
duox2,DUOX2,Dual oxidase 2,Cardiometabolic
dusp13,DUSP13,Dual specificity protein phosphatase 13 isoform A,Oncology_II
dusp29,DUSP29,Dual specificity phosphatase 29,Neurology_II
dusp3,DUSP3,Dual specificity protein phosphatase 3,Neurology
dut,DUT,"Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial",Oncology_II
dxo,DXO,Decapping and exoribonuclease protein,Neurology_II
dync1h1,DYNC1H1,Cytoplasmic dynein 1 heavy chain 1,Oncology_II
dynlt1,DYNLT1,Dynein light chain Tctex-type 1,Neurology_II
dynlt3,DYNLT3,Dynein light chain Tctex-type 3,Oncology_II
ebag9,EBAG9,Receptor-binding cancer antigen expressed on SiSo cells,Neurology
ebi3_il27,EBI3_IL27,Interleukin-27,Oncology
ece1,ECE1,Endothelin-converting enzyme 1,Neurology
echdc3,ECHDC3,"Enoyl-CoA hydratase domain-containing protein 3, mitochondrial",Cardiometabolic_II
echs1,ECHS1,"Enoyl-CoA hydratase, mitochondrial",Cardiometabolic_II
eci2,ECI2,Enoyl-CoA delta isomerase 2,Cardiometabolic_II
ecm1,ECM1,Extracellular matrix protein 1,Inflammation_II
ecscr,ECSCR,Endothelial cell-specific chemotaxis regulator,Neurology_II
eda2r,EDA2R,Tumor necrosis factor receptor superfamily member 27,Oncology
edar,EDAR,Tumor necrosis factor receptor superfamily member EDAR,Inflammation
eddm3b,EDDM3B,Epididymal secretory protein E3-beta,Oncology_II
edem2,EDEM2,ER degradation-enhancing alpha-mannosidase-like protein 2,Cardiometabolic_II
edf1,EDF1,Endothelial differentiation-related factor 1,Neurology_II
edil3,EDIL3,EGF-like repeat and discoidin I-like domain-containing protein 3,Cardiometabolic
edn1,EDN1,Endothelin-1,Cardiometabolic_II
ednrb,EDNRB,Endothelin receptor type B,Inflammation_II
eef1d,EEF1D,Elongation factor 1-delta,Cardiometabolic_II
efcab14,EFCAB14,EF-hand calcium-binding domain-containing protein 14,Oncology_II
efcab2,EFCAB2,Dynein regulatory complex protein 8,Oncology_II
efemp1,EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1,Cardiometabolic
efhd1,EFHD1,EF-hand domain-containing protein D1,Neurology_II
efna1,EFNA1,Ephrin-A1,Neurology
efna4,EFNA4,Ephrin-A4,Neurology
efnb2,EFNB2,Ephrin-B2,Neurology_II
egf,EGF,Pro-epidermal growth factor,Inflammation
egfl7,EGFL7,Epidermal growth factor-like protein 7,Oncology
egflam,EGFLAM,Pikachurin,Oncology_II
egfr,EGFR,Epidermal growth factor receptor,Cardiometabolic
egln1,EGLN1,Egl nine homolog 1,Inflammation
ehbp1,EHBP1,EH domain-binding protein 1,Cardiometabolic_II
ehd3,EHD3,EH domain-containing protein 3,Cardiometabolic_II
eif1ax,EIF1AX,"Eukaryotic translation initiation factor 1A, X-chromosomal",Neurology_II
eif2ak2,EIF2AK2,"Interferon-induced, double-stranded RNA-activated protein kinase",Oncology_II
eif2ak3,EIF2AK3,Eukaryotic translation initiation factor 2-alpha kinase 3,Cardiometabolic_II
eif2s2,EIF2S2,Eukaryotic translation initiation factor 2 subunit 2,Cardiometabolic_II
eif4b,EIF4B,Eukaryotic translation initiation factor 4B,Neurology
eif4e,EIF4E,Eukaryotic translation initiation factor 4E,Inflammation_II
eif4ebp1,EIF4EBP1,Eukaryotic translation initiation factor 4E-binding protein 1,Cardiometabolic
eif4g1,EIF4G1,Eukaryotic translation initiation factor 4 gamma 1,Inflammation
eif4g3,EIF4G3,Eukaryotic translation initiation factor 4 gamma 3,Neurology_II
eif5,EIF5,Eukaryotic translation initiation factor 5,Cardiometabolic_II
eif5a,EIF5A,Eukaryotic translation initiation factor 5A-1,Inflammation
elac1,ELAC1,Zinc phosphodiesterase ELAC protein 1,Neurology_II
elavl4,ELAVL4,ELAV-like protein 4,Neurology_II
eln,ELN,Elastin,Cardiometabolic_II
eloa,ELOA,Elongin-A,Oncology
elob,ELOB,Elongin-B,Cardiometabolic_II
enah,ENAH,Protein enabled homolog,Inflammation
endou,ENDOU,Poly(U)-specific endoribonuclease,Oncology_II
eng,ENG,Endoglin,Cardiometabolic
eno1,ENO1,Alpha-enolase,Neurology
eno2,ENO2,Gamma-enolase,Neurology
eno3,ENO3,Beta-enolase,Cardiometabolic_II
enoph1,ENOPH1,Enolase-phosphatase E1,Oncology_II
enox2,ENOX2,Ecto-NOX disulfide-thiol exchanger 2,Cardiometabolic_II
enpep,ENPEP,Glutamyl aminopeptidase,Cardiometabolic_II
enpp2,ENPP2,Ectonucleotide pyrophosphatase/phosphodiesterase family member 2,Cardiometabolic
enpp5,ENPP5,Ectonucleotide pyrophosphatase/phosphodiesterase family member 5,Inflammation
enpp6,ENPP6,Glycerophosphocholine cholinephosphodiesterase ENPP6,Cardiometabolic_II
enpp7,ENPP7,Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,Inflammation
ensa,ENSA,Alpha-endosulfine,Oncology_II
entpd2,ENTPD2,Ectonucleoside triphosphate diphosphohydrolase 2,Oncology
entpd5,ENTPD5,Ectonucleoside triphosphate diphosphohydrolase 5,Cardiometabolic
entpd6,ENTPD6,Ectonucleoside triphosphate diphosphohydrolase 6,Cardiometabolic
entr1,ENTR1,Endosome-associated-trafficking regulator 1,Cardiometabolic_II
ep300,EP300,Histone acetyltransferase p300,Inflammation_II
epb41l5,EPB41L5,Band 4.1-like protein 5,Neurology_II
epcam,EPCAM,Epithelial cell adhesion molecule,Inflammation
epgn,EPGN,Epigen,Oncology_II
epha1,EPHA1,Ephrin type-A receptor 1,Inflammation
epha10,EPHA10,Ephrin type-A receptor 10,Neurology
epha2,EPHA2,Ephrin type-A receptor 2,Oncology
epha4,EPHA4,Ephrin type-A receptor 4,Inflammation_II
ephb4,EPHB4,Ephrin type-B receptor 4,Cardiometabolic
ephb6,EPHB6,Ephrin type-B receptor 6,Neurology
ephx2,EPHX2,Bifunctional epoxide hydrolase 2,Cardiometabolic
epn1,EPN1,Epsin-1,Oncology_II
epo,EPO,Erythropoietin,Inflammation
eppk1,EPPK1,Epiplakin,Cardiometabolic_II
eps8l2,EPS8L2,Epidermal growth factor receptor kinase substrate 8-like protein 2,Oncology
erbb2,ERBB2,Receptor tyrosine-protein kinase erbB-2,Oncology
erbb3,ERBB3,Receptor tyrosine-protein kinase erbB-3,Inflammation
erbb4,ERBB4,Receptor tyrosine-protein kinase erbB-4,Oncology
erbin,ERBIN,Erbin,Oncology
erc2,ERC2,ERC protein 2,Neurology_II
ercc1,ERCC1,DNA excision repair protein ERCC-1,Oncology_II
ereg,EREG,Proepiregulin,Neurology
eri1,ERI1,3'-5' exoribonuclease 1,Oncology_II
ermap,ERMAP,Erythroid membrane-associated protein,Inflammation_II
ern1,ERN1,Serine/threonine-protein kinase/endoribonuclease IRE1,Oncology_II
erp29,ERP29,Endoplasmic reticulum resident protein 29,Inflammation_II
erp44,ERP44,Endoplasmic reticulum resident protein 44,Oncology
ervv_1,ERVV-1,Endogenous retrovirus group V member 1 Env polyprotein,Cardiometabolic_II
esam,ESAM,Endothelial cell-selective adhesion molecule,Cardiometabolic
esm1,ESM1,Endothelial cell-specific molecule 1,Inflammation
espl1,ESPL1,Separin,Oncology_II
esr1,ESR1,Estrogen receptor,Inflammation_II
esyt2,ESYT2,Extended synaptotagmin-2,Neurology_II
evi2b,EVI2B,Protein EVI2B,Oncology_II
evi5,EVI5,Ecotropic viral integration site 5 protein homolog,Inflammation_II
evpl,EVPL,Envoplakin,Oncology_II
exosc10,EXOSC10,Exosome component 10,Cardiometabolic_II
extl1,EXTL1,Exostosin-like 1,Cardiometabolic_II
ezr,EZR,Ezrin,Neurology
f10,F10,Coagulation factor X,Inflammation_II
f11,F11,Coagulation factor XI,Inflammation_II
f11r,F11R,Junctional adhesion molecule A,Neurology
f12,F12,Coagulation factor XII,Inflammation_II
f13b,F13B,Coagulation factor XIII B chain,Inflammation_II
f2,F2,Prothrombin,Inflammation_II
f2r,F2R,Proteinase-activated receptor 1,Inflammation
f3,F3,Tissue factor,Oncology
f7,F7,Coagulation factor VII,Cardiometabolic
f9,F9,Coagulation factor IX,Cardiometabolic
fabp1,FABP1,"Fatty acid-binding protein, liver",Inflammation
fabp2,FABP2,"Fatty acid-binding protein, intestinal",Cardiometabolic
fabp3,FABP3,"Fatty acid-binding protein, heart",Cardiometabolic_II
fabp4,FABP4,"Fatty acid-binding protein, adipocyte",Cardiometabolic
fabp5,FABP5,Fatty acid-binding protein 5,Neurology
fabp6,FABP6,Gastrotropin,Cardiometabolic
fabp9,FABP9,Fatty acid-binding protein 9,Inflammation
fadd,FADD,FAS-associated death domain protein,Cardiometabolic
fam13a,FAM13A,Protein FAM13A,Oncology_II
fam171a2,FAM171A2,Protein FAM171A2,Neurology_II
fam171b,FAM171B,Protein FAM171B,Oncology_II
fam172a,FAM172A,Cotranscriptional regulator FAM172A,Cardiometabolic_II
fam20a,FAM20A,Pseudokinase FAM20A,Cardiometabolic_II
fam3b,FAM3B,Protein FAM3B,Oncology
fam3c,FAM3C,Protein FAM3C,Cardiometabolic
fam3d,FAM3D,Protein FAM3D,Oncology_II
fap,FAP,Prolyl endopeptidase FAP,Cardiometabolic
farsa,FARSA,Phenylalanine--tRNA ligase alpha subunit,Neurology_II
fas,FAS,Tumor necrosis factor receptor superfamily member 6,Cardiometabolic
faslg,FASLG,Tumor necrosis factor ligand superfamily member 6,Inflammation
fbln2,FBLN2,Fibulin-2,Cardiometabolic_II
fbn2,FBN2,Fibrillin-2,Neurology_II
fbp1,FBP1,"Fructose-1,6-bisphosphatase 1",Cardiometabolic
fcamr,FCAMR,High affinity immunoglobulin alpha and immunoglobulin mu Fc receptor,Cardiometabolic_II
fcar,FCAR,Immunoglobulin alpha Fc receptor,Inflammation
fcer1a,FCER1A,High affinity immunoglobulin epsilon receptor subunit alpha,Neurology_II
fcer2,FCER2,Low affinity immunoglobulin epsilon Fc receptor,Neurology
fcgr2a,FCGR2A,Low affinity immunoglobulin gamma Fc region receptor II-a,Cardiometabolic
fcgr2b,FCGR2B,Low affinity immunoglobulin gamma Fc region receptor II-b,Oncology
fcgr3b,FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,Cardiometabolic
fcn1,FCN1,Ficolin-1,Inflammation_II
fcn2,FCN2,Ficolin-2,Cardiometabolic
fcrl1,FCRL1,Fc receptor-like protein 1,Cardiometabolic
fcrl2,FCRL2,Fc receptor-like protein 2,Inflammation
fcrl3,FCRL3,Fc receptor-like protein 3,Inflammation
fcrl5,FCRL5,Fc receptor-like protein 5,Neurology
fcrl6,FCRL6,Fc receptor-like protein 6,Inflammation
fcrlb,FCRLB,Fc receptor-like B,Oncology
fdx1,FDX1,"Adrenodoxin, mitochondrial",Cardiometabolic_II
fdx2,FDX2,"Ferredoxin-2, mitochondrial",Cardiometabolic_II
fen1,FEN1,Flap endonuclease 1,Oncology
fes,FES,Tyrosine-protein kinase Fes/Fps,Oncology
fetub,FETUB,Fetuin-B,Cardiometabolic
fga,FGA,Fibrinogen alpha chain,Inflammation_II
fgd3,FGD3,"FYVE, RhoGEF and PH domain-containing protein 3",Neurology_II
fgf12,FGF12,Fibroblast growth factor 12,Inflammation_II
fgf16,FGF16,Fibroblast growth factor 16,Inflammation_II
fgf19,FGF19,Fibroblast growth factor 19,Inflammation
fgf2,FGF2,Fibroblast growth factor 2,Inflammation
fgf20,FGF20,Fibroblast growth factor 20,Inflammation_II
fgf21,FGF21,Fibroblast growth factor 21,Oncology
fgf23,FGF23,Fibroblast growth factor 23,Oncology
fgf3,FGF3,Fibroblast growth factor 3,Inflammation_II
fgf5,FGF5,Fibroblast growth factor 5,Inflammation
fgf6,FGF6,Fibroblast growth factor 6,Inflammation_II
fgf7,FGF7,Fibroblast growth factor 7,Oncology_II
fgf9,FGF9,Fibroblast growth factor 9,Oncology_II
fgfbp1,FGFBP1,Fibroblast growth factor-binding protein 1,Oncology
fgfbp2,FGFBP2,Fibroblast growth factor-binding protein 2,Cardiometabolic_II
fgfbp3,FGFBP3,Fibroblast growth factor-binding protein 3,Neurology_II
fgfr2,FGFR2,Fibroblast growth factor receptor 2,Oncology
fgfr4,FGFR4,Fibroblast growth factor receptor 4,Inflammation_II
fgl1,FGL1,Fibrinogen-like protein 1,Inflammation_II
fgr,FGR,Tyrosine-protein kinase Fgr,Neurology
fh,FH,"Fumarate hydratase, mitochondrial",Neurology_II
fhip2a,FHIP2A,FHF complex subunit HOOK interacting protein 2A,Cardiometabolic_II
fhit,FHIT,Bis(5'-adenosyl)-triphosphatase,Neurology
fis1,FIS1,Mitochondrial fission 1 protein,Inflammation
fkbp14,FKBP14,Peptidyl-prolyl cis-trans isomerase FKBP14,Neurology_II
fkbp1b,FKBP1B,Peptidyl-prolyl cis-trans isomerase FKBP1B,Inflammation
fkbp4,FKBP4,Peptidyl-prolyl cis-trans isomerase FKBP4,Neurology
fkbp5,FKBP5,Peptidyl-prolyl cis-trans isomerase FKBP5,Neurology
fkbp7,FKBP7,Peptidyl-prolyl cis-trans isomerase FKBP7,Neurology
fkbpl,FKBPL,FK506-binding protein-like,Oncology_II
fli1,FLI1,Friend leukemia integration 1 transcription factor,Oncology
flrt2,FLRT2,Leucine-rich repeat transmembrane protein FLRT2,Neurology
flt1,FLT1,Vascular endothelial growth factor receptor 1,Oncology
flt3,FLT3,Receptor-type tyrosine-protein kinase FLT3,Oncology
flt3lg,FLT3LG,Fms-related tyrosine kinase 3 ligand,Inflammation
flt4,FLT4,Vascular endothelial growth factor receptor 3,Oncology
fmnl1,FMNL1,Formin-like protein 1,Neurology
fmr1,FMR1,Synaptic functional regulator FMR1,Oncology
fn1,FN1,Fibronectin,Inflammation_II
fndc1,FNDC1,Fibronectin type III domain-containing protein 1,Neurology_II
fnta,FNTA,Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha,Oncology_II
folh1,FOLH1,Glutamate carboxypeptidase 2,Inflammation_II
folr1,FOLR1,Folate receptor alpha,Oncology
folr2,FOLR2,Folate receptor beta,Neurology
folr3,FOLR3,Folate receptor gamma,Oncology
fos,FOS,Proto-oncogene c-Fos,Oncology_II
fosb,FOSB,Protein fosB,Neurology
foxj3,FOXJ3,Forkhead box protein J3,Inflammation_II
foxo1,FOXO1,Forkhead box protein O1,Inflammation
foxo3,FOXO3,Forkhead box protein O3,Oncology
frmd4b,FRMD4B,FERM domain-containing protein 4B,Cardiometabolic_II
frmd7,FRMD7,FERM domain-containing protein 7,Neurology_II
frzb,FRZB,Secreted frizzled-related protein 3,Neurology
fshb,FSHB,Follitropin subunit beta,Cardiometabolic_II
fst,FST,Follistatin,Inflammation
fstl1,FSTL1,Follistatin-related protein 1,Cardiometabolic_II
fstl3,FSTL3,Follistatin-related protein 3,Inflammation
ftcd,FTCD,Formimidoyltransferase-cyclodeaminase,Neurology_II
fuca1,FUCA1,Tissue alpha-L-fucosidase,Cardiometabolic
fuom,FUOM,Fucose mutarotase,Inflammation_II
furin,FURIN,Furin,Oncology
fus,FUS,RNA-binding protein FUS,Oncology
fut1,FUT1,"Galactoside alpha-(1,2)-fucosyltransferase 1",Oncology_II
fut3_fut5,FUT3_FUT5,3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase FUT3_4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase FUT5,Neurology
fut8,FUT8,"Alpha-(1,6)-fucosyltransferase",Neurology
fxn,FXN,"Frataxin, mitochondrial",Oncology
fxyd5,FXYD5,FXYD domain-containing ion transport regulator 5,Inflammation
fyb1,FYB1,FYN-binding protein 1,Neurology
fzd10,FZD10,Frizzled-10,Neurology_II
fzd8,FZD8,Frizzled-8,Neurology_II
gabarap,GABARAP,Gamma-aminobutyric acid receptor-associated protein,Oncology_II
gabarapl1,GABARAPL1,Gamma-aminobutyric acid receptor-associated protein-like 1,Oncology_II
gabra4,GABRA4,Gamma-aminobutyric acid receptor subunit alpha-4,Neurology_II
gad1,GAD1,Glutamate decarboxylase 1,Oncology_II
gad2,GAD2,Glutamate decarboxylase 2,Inflammation_II
gadd45b,GADD45B,Growth arrest and DNA damage-inducible protein GADD45 beta,Oncology_II
gadd45gip1,GADD45GIP1,Growth arrest and DNA damage-inducible proteins-interacting protein 1,Cardiometabolic_II
gage2a,GAGE2A,G antigen 2A,Oncology_II
gal,GAL,Galanin peptides,Inflammation
galnt10,GALNT10,Polypeptide N-acetylgalactosaminyltransferase 10,Oncology
galnt2,GALNT2,Polypeptide N-acetylgalactosaminyltransferase 2,Oncology
galnt3,GALNT3,Polypeptide N-acetylgalactosaminyltransferase 3,Inflammation
galnt5,GALNT5,Polypeptide N-acetylgalactosaminyltransferase 5,Cardiometabolic_II
galnt7,GALNT7,N-acetylgalactosaminyltransferase 7,Oncology
gamt,GAMT,Guanidinoacetate N-methyltransferase,Cardiometabolic_II
gapdh,GAPDH,Glyceraldehyde-3-phosphate dehydrogenase,Inflammation_II
gart,GART,Trifunctional purine biosynthetic protein adenosine-3,Neurology_II
gas2,GAS2,Growth arrest-specific protein 2,Oncology_II
gas6,GAS6,Growth arrest-specific protein 6,Cardiometabolic
gask1a,GASK1A,Golgi-associated kinase 1A,Cardiometabolic_II
gast,GAST,Gastrin,Neurology_II
gata3,GATA3,Trans-acting T-cell-specific transcription factor GATA-3,Oncology_II
gatd3,GATD3,"Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial",Cardiometabolic_II
gba,GBA,Lysosomal acid glucosylceramidase,Neurology_II
gbp1,GBP1,Guanylate-binding protein 1,Neurology_II
gbp2,GBP2,Guanylate-binding protein 2,Inflammation
gbp4,GBP4,Guanylate-binding protein 4,Neurology
gbp6,GBP6,Guanylate-binding protein 6,Cardiometabolic_II
gc,GC,Vitamin D-binding protein,Inflammation_II
gcc1,GCC1,GRIP and coiled-coil domain-containing protein 1,Neurology_II
gcg,GCG,Pro-glucagon,Oncology
gchfr,GCHFR,GTP cyclohydrolase 1 feedback regulatory protein,Inflammation_II
gclm,GCLM,Glutamate--cysteine ligase regulatory subunit,Cardiometabolic_II
gcnt1,GCNT1,"Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase",Oncology
gdf15,GDF15,Growth/differentiation factor 15,Cardiometabolic
gdf2,GDF2,Growth/differentiation factor 2,Cardiometabolic
gdnf,GDNF,Glial cell line-derived neurotrophic factor,Neurology
get3,GET3,ATPase GET3,Cardiometabolic_II
gfap,GFAP,Glial fibrillary acidic protein,Oncology
gfer,GFER,FAD-linked sulfhydryl oxidase ALR,Oncology
gfod2,GFOD2,Glucose-fructose oxidoreductase domain-containing protein 2,Oncology
gfra1,GFRA1,GDNF family receptor alpha-1,Oncology
gfra2,GFRA2,GDNF family receptor alpha-2,Oncology
gfra3,GFRA3,GDNF family receptor alpha-3,Neurology
gfral,GFRAL,GDNF family receptor alpha-like,Neurology_II
gga1,GGA1,ADP-ribosylation factor-binding protein GGA1,Neurology
ggact,GGACT,Gamma-glutamylaminecyclotransferase,Cardiometabolic_II
ggct,GGCT,Gamma-glutamylcyclotransferase,Cardiometabolic_II
ggh,GGH,Gamma-glutamyl hydrolase,Cardiometabolic
ggt1,GGT1,Glutathione hydrolase 1 proenzyme,Neurology
ggt5,GGT5,Glutathione hydrolase 5 proenzyme,Neurology
gh1,GH1,Somatotropin,Cardiometabolic
gh2,GH2,Growth hormone variant,Oncology
ghr,GHR,Growth hormone receptor,Inflammation_II
ghrhr,GHRHR,Growth hormone-releasing hormone receptor,Neurology
ghrl,GHRL,Appetite-regulating hormone,Cardiometabolic
gid8,GID8,Glucose-induced degradation protein 8 homolog,Neurology_II
gigyf2,GIGYF2,GRB10-interacting GYF protein 2,Neurology_II
gimap7,GIMAP7,GTPase IMAP family member 7,Inflammation_II
gimap8,GIMAP8,GTPase IMAP family member 8,Oncology_II
gip,GIP,Gastric inhibitory polypeptide,Cardiometabolic_II
gipc2,GIPC2,PDZ domain-containing protein GIPC2,Neurology_II
gipc3,GIPC3,PDZ domain-containing protein GIPC3,Oncology_II
gipr,GIPR,Gastric inhibitory polypeptide receptor,Inflammation_II
git1,GIT1,ARF GTPase-activating protein GIT1,Inflammation_II
gja8,GJA8,Gap junction alpha-8 protein,Oncology_II
gkn1,GKN1,Gastrokine-1,Neurology
gla,GLA,Alpha-galactosidase A,Inflammation_II
glb1,GLB1,Beta-galactosidase,Neurology
gli2,GLI2,Zinc finger protein GLI2,Inflammation_II
glipr1,GLIPR1,Glioma pathogenesis-related protein 1,Oncology_II
glo1,GLO1,Lactoylglutathione lyase,Cardiometabolic
glod4,GLOD4,Glyoxalase domain-containing protein 4,Inflammation
glp1r,GLP1R,Glucagon-like peptide 1 receptor,Neurology_II
glrx,GLRX,Glutaredoxin-1,Cardiometabolic
glrx5,GLRX5,"Glutaredoxin-related protein 5, mitochondrial",Inflammation_II
glt8d2,GLT8D2,Glycosyltransferase 8 domain-containing protein 2,Neurology
glyr1,GLYR1,Putative oxidoreductase GLYR1,Oncology_II
gm2a,GM2A,Ganglioside GM2 activator,Cardiometabolic_II
gmfg,GMFG,Glia maturation factor gamma,Cardiometabolic_II
gmpr,GMPR,GMP reductase 1,Inflammation
gmpr2,GMPR2,GMP reductase 2,Inflammation_II
gnas,GNAS,Neuroendocrine secretory protein 55,Neurology_II
gne,GNE,Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase,Oncology
gngt1,GNGT1,Guanine nucleotide-binding protein G(T) subunit gamma-T1,Neurology_II
gnly,GNLY,Granulysin,Neurology
gnpda1,GNPDA1,Glucosamine-6-phosphate isomerase 1,Cardiometabolic_II
gnpda2,GNPDA2,Glucosamine-6-phosphate isomerase 2,Inflammation_II
golga3,GOLGA3,Golgin subfamily A member 3,Neurology_II
golm2,GOLM2,Protein GOLM2,Neurology
gopc,GOPC,Golgi-associated PDZ and coiled-coil motif-containing protein,Inflammation
gorasp2,GORASP2,Golgi reassembly-stacking protein 2,Oncology_II
got1,GOT1,"Aspartate aminotransferase, cytoplasmic",Cardiometabolic_II
gp1ba,GP1BA,Platelet glycoprotein Ib alpha chain,Cardiometabolic
gp1bb,GP1BB,Platelet glycoprotein Ib beta chain,Cardiometabolic_II
gp2,GP2,Pancreatic secretory granule membrane major glycoprotein GP2,Cardiometabolic
gp5,GP5,Platelet glycoprotein V,Inflammation_II
gp6,GP6,Platelet glycoprotein VI,Neurology
gpa33,GPA33,Cell surface A33 antigen,Oncology
gpc1,GPC1,Glypican-1,Oncology
gpc5,GPC5,Glypican-5,Neurology
gpd1,GPD1,Glycerol-3-phosphate dehydrogenase,Oncology_II
gpha2,GPHA2,Glycoprotein hormone alpha-2,Oncology_II
gpi,GPI,Glucose-6-phosphate isomerase,Inflammation_II
gpihbp1,GPIHBP1,Glycosylphosphatidylinositol-anchored high density lipoprotein-binding protein 1,Oncology_II
gpkow,GPKOW,G-patch domain and KOW motifs-containing protein,Neurology
gpnmb,GPNMB,Transmembrane glycoprotein NMB,Cardiometabolic
gpr101,GPR101,Probable G-protein coupled receptor 101,Neurology_II
gpr158,GPR158,Probable G-protein coupled receptor 158,Neurology_II
gpr15l,GPR15L,Protein GPR15L,Oncology_II
gpr37,GPR37,Prosaposin receptor GPR37,Cardiometabolic
gprc5c,GPRC5C,G-protein coupled receptor family C group 5 member C,Oncology_II
grap2,GRAP2,GRB2-related adapter protein 2,Cardiometabolic
grhpr,GRHPR,Glyoxylate reductase/hydroxypyruvate reductase,Cardiometabolic_II
grik2,GRIK2,"Glutamate receptor ionotropic, kainate 2",Neurology_II
grin2b,GRIN2B,"Glutamate receptor ionotropic, NMDA 2B",Neurology_II
grk5,GRK5,G protein-coupled receptor kinase 5,Cardiometabolic
grn,GRN,Progranulin,Neurology
grp,GRP,Gastrin-releasing peptide,Cardiometabolic_II
grpel1,GRPEL1,"GrpE protein homolog 1, mitochondrial",Oncology
grsf1,GRSF1,G-rich sequence factor 1,Oncology_II
gsap,GSAP,Gamma-secretase-activating protein,Oncology
gsn,GSN,Gelsolin,Inflammation_II
gsr,GSR,"Glutathione reductase, mitochondrial",Inflammation_II
gsta1,GSTA1,Glutathione S-transferase A1,Cardiometabolic
gsta3,GSTA3,Glutathione S-transferase A3,Oncology
gstm4,GSTM4,Glutathione S-transferase Mu 4,Cardiometabolic_II
gstp1,GSTP1,Glutathione S-transferase P,Neurology
gstt2b,GSTT2B,Glutathione S-transferase theta-2B,Neurology_II
gtf2ird1,GTF2IRD1,General transcription factor II-I repeat domain-containing protein 1,Oncology_II
gtpbp2,GTPBP2,GTP-binding protein 2,Neurology_II
guca2a,GUCA2A,Guanylin,Neurology
gucy2c,GUCY2C,Heat-stable enterotoxin receptor,Oncology_II
guk1,GUK1,Guanylate kinase,Cardiometabolic_II
gusb,GUSB,Beta-glucuronidase,Cardiometabolic
gys1,GYS1,"Glycogen [starch] synthase, muscle",Cardiometabolic
gzma,GZMA,Granzyme A,Inflammation
gzmb,GZMB,Granzyme B,Inflammation
gzmh,GZMH,Granzyme H,Cardiometabolic
h2ap,H2AP,Huntingtin-interacting protein M,Oncology_II
hadh,HADH,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial",Cardiometabolic_II
hagh,HAGH,"Hydroxyacylglutathione hydrolase, mitochondrial",Oncology
hao1,HAO1,Hydroxyacid oxidase 1,Oncology
hars1,HARS1,"Histidine--tRNA ligase, cytoplasmic",Neurology
havcr1,HAVCR1,Hepatitis A virus cellular receptor 1,Oncology
havcr2,HAVCR2,Hepatitis A virus cellular receptor 2,Neurology
hbegf,HBEGF,Proheparin-binding EGF-like growth factor,Oncology
hbq1,HBQ1,Hemoglobin subunit theta-1,Oncology
hbz,HBZ,Hemoglobin subunit zeta,Cardiometabolic_II
hcg22,HCG22,Protein PBMUCL2,Cardiometabolic_II
hcls1,HCLS1,Hematopoietic lineage cell-specific protein,Inflammation
hdac8,HDAC8,Histone deacetylase 8,Inflammation_II
hdac9,HDAC9,Histone deacetylase 9,Neurology_II
hddc2,HDDC2,5'-deoxynucleotidase HDDC2,Oncology_II
hdgf,HDGF,Hepatoma-derived growth factor,Oncology
hdgfl2,HDGFL2,Hepatoma-derived growth factor-related protein 2,Neurology_II
hebp1,HEBP1,Heme-binding protein 1,Cardiometabolic
heg1,HEG1,Protein HEG homolog 1,Inflammation_II
hepacam2,HEPACAM2,HEPACAM family member 2,Neurology_II
heph,HEPH,Hephaestin,Cardiometabolic_II
hexim1,HEXIM1,Protein HEXIM1,Inflammation
hgf,HGF,Hepatocyte growth factor,Inflammation
hgfac,HGFAC,Hepatocyte growth factor activator,Inflammation_II
hgs,HGS,Hepatocyte growth factor-regulated tyrosine kinase substrate,Oncology
hhex,HHEX,Hematopoietically-expressed homeobox protein HHEX,Neurology_II
hif1a,HIF1A,Hypoxia-inducible factor 1-alpha,Inflammation_II
hip1,HIP1,Huntingtin-interacting protein 1,Cardiometabolic_II
hip1r,HIP1R,Huntingtin-interacting protein 1-related protein,Neurology_II
hjv,HJV,Hemojuvelin,Neurology_II
