Variable	Protein	Protein_meaning
fut3_fut5	FUT3_FUT5	3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase FUT3_4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase FUT5
fut8	FUT8	"Alpha-(1,6)-fucosyltransferase"
fxn	FXN	"Frataxin, mitochondrial"
fxyd5	FXYD5	FXYD domain-containing ion transport regulator 5
fyb1	FYB1	FYN-binding protein 1
fzd10	FZD10	Frizzled-10
fzd8	FZD8	Frizzled-8
gabarap	GABARAP	Gamma-aminobutyric acid receptor-associated protein
gabarapl1	GABARAPL1	Gamma-aminobutyric acid receptor-associated protein-like 1
gabra4	GABRA4	Gamma-aminobutyric acid receptor subunit alpha-4
gad1	GAD1	Glutamate decarboxylase 1
gad2	GAD2	Glutamate decarboxylase 2
gadd45b	GADD45B	Growth arrest and DNA damage-inducible protein GADD45 beta
gadd45gip1	GADD45GIP1	Growth arrest and DNA damage-inducible proteins-interacting protein 1
gage2a	GAGE2A	G antigen 2A
gal	GAL	Galanin peptides
galnt10	GALNT10	Polypeptide N-acetylgalactosaminyltransferase 10
galnt2	GALNT2	Polypeptide N-acetylgalactosaminyltransferase 2
galnt3	GALNT3	Polypeptide N-acetylgalactosaminyltransferase 3
galnt5	GALNT5	Polypeptide N-acetylgalactosaminyltransferase 5
galnt7	GALNT7	N-acetylgalactosaminyltransferase 7
gamt	GAMT	Guanidinoacetate N-methyltransferase
gapdh	GAPDH	Glyceraldehyde-3-phosphate dehydrogenase
gart	GART	Trifunctional purine biosynthetic protein adenosine-3
gas2	GAS2	Growth arrest-specific protein 2
gas6	GAS6	Growth arrest-specific protein 6
gask1a	GASK1A	Golgi-associated kinase 1A
gast	GAST	Gastrin
gata3	GATA3	Trans-acting T-cell-specific transcription factor GATA-3
gatd3	GATD3	"Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial"
gba	GBA	Lysosomal acid glucosylceramidase
gbp1	GBP1	Guanylate-binding protein 1
gbp2	GBP2	Guanylate-binding protein 2
gbp4	GBP4	Guanylate-binding protein 4
gbp6	GBP6	Guanylate-binding protein 6
gc	GC	Vitamin D-binding protein
gcc1	GCC1	GRIP and coiled-coil domain-containing protein 1
gcg	GCG	Pro-glucagon
gchfr	GCHFR	GTP cyclohydrolase 1 feedback regulatory protein
gclm	GCLM	Glutamate--cysteine ligase regulatory subunit
gcnt1	GCNT1	"Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase"
gdf15	GDF15	Growth/differentiation factor 15
gdf2	GDF2	Growth/differentiation factor 2
gdnf	GDNF	Glial cell line-derived neurotrophic factor
get3	GET3	ATPase GET3
gfap	GFAP	Glial fibrillary acidic protein
gfer	GFER	FAD-linked sulfhydryl oxidase ALR
gfod2	GFOD2	Glucose-fructose oxidoreductase domain-containing protein 2
gfra1	GFRA1	GDNF family receptor alpha-1
gfra2	GFRA2	GDNF family receptor alpha-2
gfra3	GFRA3	GDNF family receptor alpha-3
gfral	GFRAL	GDNF family receptor alpha-like
gga1	GGA1	ADP-ribosylation factor-binding protein GGA1
ggact	GGACT	Gamma-glutamylaminecyclotransferase
ggct	GGCT	Gamma-glutamylcyclotransferase
ggh	GGH	Gamma-glutamyl hydrolase
ggt1	GGT1	Glutathione hydrolase 1 proenzyme
ggt5	GGT5	Glutathione hydrolase 5 proenzyme
gh1	GH1	Somatotropin
gh2	GH2	Growth hormone variant
ghr	GHR	Growth hormone receptor
ghrhr	GHRHR	Growth hormone-releasing hormone receptor
ghrl	GHRL	Appetite-regulating hormone
gid8	GID8	Glucose-induced degradation protein 8 homolog
gigyf2	GIGYF2	GRB10-interacting GYF protein 2
gimap7	GIMAP7	GTPase IMAP family member 7
gimap8	GIMAP8	GTPase IMAP family member 8
gip	GIP	Gastric inhibitory polypeptide
gipc2	GIPC2	PDZ domain-containing protein GIPC2
gipc3	GIPC3	PDZ domain-containing protein GIPC3
gipr	GIPR	Gastric inhibitory polypeptide receptor
git1	GIT1	ARF GTPase-activating protein GIT1
gja8	GJA8	Gap junction alpha-8 protein
gkn1	GKN1	Gastrokine-1
gla	GLA	Alpha-galactosidase A
glb1	GLB1	Beta-galactosidase
gli2	GLI2	Zinc finger protein GLI2
glipr1	GLIPR1	Glioma pathogenesis-related protein 1
glo1	GLO1	Lactoylglutathione lyase
glod4	GLOD4	Glyoxalase domain-containing protein 4
glp1r	GLP1R	Glucagon-like peptide 1 receptor
glrx	GLRX	Glutaredoxin-1
glrx5	GLRX5	"Glutaredoxin-related protein 5, mitochondrial"
glt8d2	GLT8D2	Glycosyltransferase 8 domain-containing protein 2
glyr1	GLYR1	Putative oxidoreductase GLYR1
gm2a	GM2A	Ganglioside GM2 activator
gmfg	GMFG	Glia maturation factor gamma
gmpr	GMPR	GMP reductase 1
gmpr2	GMPR2	GMP reductase 2
gnas	GNAS	Neuroendocrine secretory protein 55
gne	GNE	Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase
gngt1	GNGT1	Guanine nucleotide-binding protein G(T) subunit gamma-T1
gnly	GNLY	Granulysin
gnpda1	GNPDA1	Glucosamine-6-phosphate isomerase 1
gnpda2	GNPDA2	Glucosamine-6-phosphate isomerase 2
golga3	GOLGA3	Golgin subfamily A member 3
golm2	GOLM2	Protein GOLM2
gopc	GOPC	Golgi-associated PDZ and coiled-coil motif-containing protein
gorasp2	GORASP2	Golgi reassembly-stacking protein 2
got1	GOT1	"Aspartate aminotransferase, cytoplasmic"
gp1ba	GP1BA	Platelet glycoprotein Ib alpha chain
gp1bb	GP1BB	Platelet glycoprotein Ib beta chain
gp2	GP2	Pancreatic secretory granule membrane major glycoprotein GP2
gp5	GP5	Platelet glycoprotein V
gp6	GP6	Platelet glycoprotein VI
gpa33	GPA33	Cell surface A33 antigen
gpc1	GPC1	Glypican-1
gpc5	GPC5	Glypican-5
gpd1	GPD1	Glycerol-3-phosphate dehydrogenase
gpha2	GPHA2	Glycoprotein hormone alpha-2
gpi	GPI	Glucose-6-phosphate isomerase
gpihbp1	GPIHBP1	Glycosylphosphatidylinositol-anchored high density lipoprotein-binding protein 1
gpkow	GPKOW	G-patch domain and KOW motifs-containing protein
gpnmb	GPNMB	Transmembrane glycoprotein NMB
gpr101	GPR101	Probable G-protein coupled receptor 101
gpr158	GPR158	Probable G-protein coupled receptor 158
gpr15l	GPR15L	Protein GPR15L
gpr37	GPR37	Prosaposin receptor GPR37
gprc5c	GPRC5C	G-protein coupled receptor family C group 5 member C
grap2	GRAP2	GRB2-related adapter protein 2
grhpr	GRHPR	Glyoxylate reductase/hydroxypyruvate reductase
grik2	GRIK2	"Glutamate receptor ionotropic, kainate 2"
grin2b	GRIN2B	"Glutamate receptor ionotropic, NMDA 2B"
grk5	GRK5	G protein-coupled receptor kinase 5
grn	GRN	Progranulin
grp	GRP	Gastrin-releasing peptide
grpel1	GRPEL1	"GrpE protein homolog 1, mitochondrial"
grsf1	GRSF1	G-rich sequence factor 1
gsap	GSAP	Gamma-secretase-activating protein
gsn	GSN	Gelsolin
gsr	GSR	"Glutathione reductase, mitochondrial"
gsta1	GSTA1	Glutathione S-transferase A1
gsta3	GSTA3	Glutathione S-transferase A3
gstm4	GSTM4	Glutathione S-transferase Mu 4
gstp1	GSTP1	Glutathione S-transferase P
gstt2b	GSTT2B	Glutathione S-transferase theta-2B
gtf2ird1	GTF2IRD1	General transcription factor II-I repeat domain-containing protein 1
gtpbp2	GTPBP2	GTP-binding protein 2
guca2a	GUCA2A	Guanylin
gucy2c	GUCY2C	Heat-stable enterotoxin receptor
guk1	GUK1	Guanylate kinase
gusb	GUSB	Beta-glucuronidase
gys1	GYS1	"Glycogen [starch] synthase, muscle"
gzma	GZMA	Granzyme A
gzmb	GZMB	Granzyme B
gzmh	GZMH	Granzyme H
h2ap	H2AP	Huntingtin-interacting protein M
hadh	HADH	"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial"
hagh	HAGH	"Hydroxyacylglutathione hydrolase, mitochondrial"
hao1	HAO1	Hydroxyacid oxidase 1
hars1	HARS1	"Histidine--tRNA ligase, cytoplasmic"
havcr1	HAVCR1	Hepatitis A virus cellular receptor 1
havcr2	HAVCR2	Hepatitis A virus cellular receptor 2
hbegf	HBEGF	Proheparin-binding EGF-like growth factor
hbq1	HBQ1	Hemoglobin subunit theta-1
hbz	HBZ	Hemoglobin subunit zeta
hcg22	HCG22	Protein PBMUCL2
hcls1	HCLS1	Hematopoietic lineage cell-specific protein
hdac8	HDAC8	Histone deacetylase 8
hdac9	HDAC9	Histone deacetylase 9
hddc2	HDDC2	5'-deoxynucleotidase HDDC2
hdgf	HDGF	Hepatoma-derived growth factor
hdgfl2	HDGFL2	Hepatoma-derived growth factor-related protein 2
hebp1	HEBP1	Heme-binding protein 1
heg1	HEG1	Protein HEG homolog 1
hepacam2	HEPACAM2	HEPACAM family member 2
heph	HEPH	Hephaestin
hexim1	HEXIM1	Protein HEXIM1
hgf	HGF	Hepatocyte growth factor
hgfac	HGFAC	Hepatocyte growth factor activator
hgs	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate
hhex	HHEX	Hematopoietically-expressed homeobox protein HHEX
hif1a	HIF1A	Hypoxia-inducible factor 1-alpha
hip1	HIP1	Huntingtin-interacting protein 1
hip1r	HIP1R	Huntingtin-interacting protein 1-related protein
hjv	HJV	Hemojuvelin
hk2	HK2	Hexokinase-2
hla_a	HLA-A	"HLA class I histocompatibility antigen, A alpha chain"
hla_dra	HLA-DRA	"HLA class II histocompatibility antigen, DR alpha chain"
hla_e	HLA-E	"HLA class I histocompatibility antigen, alpha chain E"
hmbs	HMBS	Porphobilinogen deaminase
hmcn2	HMCN2	Hemicentin-2
hmgcl	HMGCL	"Hydroxymethylglutaryl-CoA lyase, mitochondrial"
hmgcs1	HMGCS1	"Hydroxymethylglutaryl-CoA synthase, cytoplasmic"
hmmr	HMMR	Hyaluronan mediated motility receptor
hmox1	HMOX1	Heme oxygenase 1
hmox2	HMOX2	Heme oxygenase 2
hnf1a	HNF1A	Hepatocyte nuclear factor 1-alpha
hnmt	HNMT	Histamine N-methyltransferase
hnrnpk	HNRNPK	Heterogeneous nuclear ribonucleoprotein K
hnrnpul1	HNRNPUL1	Heterogeneous nuclear ribonucleoprotein U-like protein 1
hpcal1	HPCAL1	Hippocalcin-like protein 1
hpgds	HPGDS	Hematopoietic prostaglandin D synthase
hpse	HPSE	Heparanase
hras	HRAS	GTPase Hras
hrc	HRC	Sarcoplasmic reticulum histidine-rich calcium-binding protein
hrg	HRG	Histidine-rich glycoprotein
hs1bp3	HS1BP3	HCLS1-binding protein 3
hs3st3b1	HS3ST3B1	Heparan sulfate glucosamine 3-O-sulfotransferase 3B1
hs6st1	HS6ST1	Heparan-sulfate 6-O-sulfotransferase 1
hs6st2	HS6ST2	Heparan-sulfate 6-O-sulfotransferase 2
hsbp1	HSBP1	Heat shock factor-binding protein 1
hsd11b1	HSD11B1	Corticosteroid 11-beta-dehydrogenase isozyme 1
hsd17b14	HSD17B14	17-beta-hydroxysteroid dehydrogenase 14
hsd17b3	HSD17B3	Testosterone 17-beta-dehydrogenase 3
hsdl2	HSDL2	Hydroxysteroid dehydrogenase-like protein 2
hsp90b1	HSP90B1	Endoplasmin
hspa1a	HSPA1A	Heat shock 70 kDa protein 1A
hspa2	HSPA2	Heat shock-related 70 kDa protein 2
hspb1	HSPB1	Heat shock protein beta-1
hspb6	HSPB6	Heat shock protein beta-6
hspg2	HSPG2	Basement membrane-specific heparan sulfate proteoglycan core protein
htr1a	HTR1A	5-hydroxytryptamine receptor 1A
htr1b	HTR1B	5-hydroxytryptamine receptor 1B
htra2	HTRA2	"Serine protease HTRA2, mitochondrial"
hyal1	HYAL1	Hyaluronidase-1
hyou1	HYOU1	Hypoxia up-regulated protein 1
ica1	ICA1	Islet cell autoantigen 1
icam1	ICAM1	Intercellular adhesion molecule 1
icam2	ICAM2	Intercellular adhesion molecule 2
icam3	ICAM3	Intercellular adhesion molecule 3
icam4	ICAM4	Intercellular adhesion molecule 4
icam5	ICAM5	Intercellular adhesion molecule 5
icoslg	ICOSLG	ICOS ligand
id4	ID4	DNA-binding protein inhibitor ID-4
idi2	IDI2	Isopentenyl-diphosphate delta-isomerase 2
ido1	IDO1	"Indoleamine 2,3-dioxygenase 1"
ids	IDS	Iduronate 2-sulfatase
idua	IDUA	Alpha-L-iduronidase
ifi30	IFI30	Gamma-interferon-inducible lysosomal thiol reductase
ifit1	IFIT1	Interferon-induced protein with tetratricopeptide repeats 1
ifit3	IFIT3	Interferon-induced protein with tetratricopeptide repeats 3
ifnar1	IFNAR1	Interferon alpha/beta receptor 1
ifng	IFNG	Interferon gamma
ifngr1	IFNGR1	Interferon gamma receptor 1
ifngr2	IFNGR2	Interferon gamma receptor 2
ifnl1	IFNL1	Interferon lambda-1
ifnl2	IFNL2	Interferon lambda-2
ifnlr1	IFNLR1	Interferon lambda receptor 1
ifnw1	IFNW1	Interferon omega-1
ift20	IFT20	Intraflagellar transport protein 20 homolog
igbp1	IGBP1	Immunoglobulin-binding protein 1
igdcc3	IGDCC3	Immunoglobulin superfamily DCC subclass member 3
igdcc4	IGDCC4	Immunoglobulin superfamily DCC subclass member 4
igf1r	IGF1R	Insulin-like growth factor 1 receptor
igf2bp3	IGF2BP3	Insulin-like growth factor 2 mRNA-binding protein 3
igf2r	IGF2R	Cation-independent mannose-6-phosphate receptor
igfbp1	IGFBP1	Insulin-like growth factor-binding protein 1
igfbp2	IGFBP2	Insulin-like growth factor-binding protein 2
igfbp3	IGFBP3	Insulin-like growth factor-binding protein 3
igfbp4	IGFBP4	Insulin-like growth factor-binding protein 4
igfbp6	IGFBP6	Insulin-like growth factor-binding protein 6
igfbp7	IGFBP7	Insulin-like growth factor-binding protein 7
igfbpl1	IGFBPL1	Insulin-like growth factor-binding protein-like 1
igfl4	IGFL4	Insulin growth factor-like family member 4
ighmbp2	IGHMBP2	DNA-binding protein SMUBP-2
iglc2	IGLC2	Immunoglobulin lambda constant 2
iglon5	IGLON5	IgLON family member 5
igsf21	IGSF21	Immunoglobulin superfamily member 21
igsf3	IGSF3	Immunoglobulin superfamily member 3
igsf8	IGSF8	Immunoglobulin superfamily member 8
igsf9	IGSF9	Protein turtle homolog A
ikbkg	IKBKG	NF-kappa-B essential modulator
ikzf2	IKZF2	Zinc finger protein Helios
il10	IL10	Interleukin-10
il10ra	IL10RA	Interleukin-10 receptor subunit alpha
il10rb	IL10RB	Interleukin-10 receptor subunit beta
il11	IL11	Interleukin-11
il12a_il12b	IL12A_IL12B	Interleukin-12
il12b	IL12B	Interleukin-12 subunit beta
il12rb1	IL12RB1	Interleukin-12 receptor subunit beta-1
il12rb2	IL12RB2	Interleukin-12 receptor subunit beta-2
il13	IL13	Interleukin-13
il13ra1	IL13RA1	Interleukin-13 receptor subunit alpha-1
il13ra2	IL13RA2	Interleukin-13 receptor subunit alpha-2
il15	IL15	Interleukin-15
il15ra	IL15RA	Interleukin-15 receptor subunit alpha
il16	IL16	Pro-interleukin-16
il17a	IL17A	Interleukin-17A
il17c	IL17C	Interleukin-17C
il17d	IL17D	Interleukin-17D
il17f	IL17F	Interleukin-17F
il17ra	IL17RA	Interleukin-17 receptor A
il17rb	IL17RB	Interleukin-17 receptor B
il18	IL18	Interleukin-18
il18bp	IL18BP	Interleukin-18-binding protein
il18r1	IL18R1	Interleukin-18 receptor 1
il18rap	IL18RAP	Interleukin-18 receptor accessory protein
il19	IL19	Interleukin-19
il1a	IL1A	Interleukin-1 alpha
il1b	IL1B	Interleukin-1 beta
il1r1	IL1R1	Interleukin-1 receptor type 1
il1r2	IL1R2	Interleukin-1 receptor type 2
il1rap	IL1RAP	Interleukin-1 receptor accessory protein
il1rl1	IL1RL1	Interleukin-1 receptor-like 1
il1rl2	IL1RL2	Interleukin-1 receptor-like 2
il1rn	IL1RN	Interleukin-1 receptor antagonist protein
il2	IL2	Interleukin-2
il20	IL20	Interleukin-20
il20ra	IL20RA	Interleukin-20 receptor subunit alpha
il20rb	IL20RB	Interleukin-20 receptor subunit beta
il21r	IL21R	Interleukin-21 receptor
il22	IL22	Interleukin-22
il22ra1	IL22RA1	Interleukin-22 receptor subunit alpha-1
il24	IL24	Interleukin-24
il25	IL25	Interleukin-25
il2ra	IL2RA	Interleukin-2 receptor subunit alpha
il2rb	IL2RB	Interleukin-2 receptor subunit beta
il2rg	IL2RG	Cytokine receptor common subunit gamma
il3	IL3	Interleukin-3
il31	IL31	Interleukin-31
il31ra	IL31RA	Interleukin-31 receptor subunit alpha
il32	IL32	Interleukin-32
il33	IL33	Interleukin-33
il34	IL34	Interleukin-34
il36a	IL36A	Interleukin-36 alpha
il36g	IL36G	Interleukin-36 gamma
il3ra	IL3RA	Interleukin-3 receptor subunit alpha
il4	IL4	Interleukin-4
il4r	IL4R	Interleukin-4 receptor subunit alpha
il5	IL5	Interleukin-5
il5ra	IL5RA	Interleukin-5 receptor subunit alpha
il6	IL6	Interleukin-6
il6r	IL6R	Interleukin-6 receptor subunit alpha
il6st	IL6ST	Interleukin-6 receptor subunit beta
il7	IL7	Interleukin-7
il7r	IL7R	Interleukin-7 receptor subunit alpha
il9	IL9	Interleukin-9
ilkap	ILKAP	Integrin-linked kinase-associated serine/threonine phosphatase 2C
immt	IMMT	MICOS complex subunit MIC60
impa1	IMPA1	Inositol monophosphatase 1
impact	IMPACT	Protein IMPACT
impg1	IMPG1	Interphotoreceptor matrix proteoglycan 1
ing1	ING1	Inhibitor of growth protein 1
inhbb	INHBB	Inhibin beta B chain
inhbc	INHBC	Inhibin beta C chain
inpp1	INPP1	Inositol polyphosphate 1-phosphatase
inpp5d	INPP5D	"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1"
inpp5j	INPP5J	"Phosphatidylinositol 4,5-bisphosphate 5-phosphatase A"
inppl1	INPPL1	"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2"
insl3	INSL3	Insulin-like 3
insl4	INSL4	Early placenta insulin-like peptide
insl5	INSL5	Insulin-like peptide INSL5
insr	INSR	Insulin receptor
ipcef1	IPCEF1	Interactor protein for cytohesin exchange factors 1
iqgap2	IQGAP2	Ras GTPase-activating-like protein IQGAP2
irag2	IRAG2	"Inositol 1,4,5-triphosphate receptor associated 2"
irak1	IRAK1	Interleukin-1 receptor-associated kinase 1
irak4	IRAK4	Interleukin-1 receptor-associated kinase 4
islr2	ISLR2	Immunoglobulin superfamily containing leucine-rich repeat protein 2
ism1	ISM1	Isthmin-1
ism2	ISM2	Isthmin-2
ist1	IST1	IST1 homolog
itga11	ITGA11	Integrin alpha-11
itga2	ITGA2	Integrin alpha-2
itga5	ITGA5	Integrin alpha-5
itga6	ITGA6	Integrin alpha-6
itgal	ITGAL	Integrin alpha-L
itgam	ITGAM	Integrin alpha-M
itgav	ITGAV	Integrin alpha-V
itgax	ITGAX	Integrin alpha-X
itgb1	ITGB1	Integrin beta-1
itgb1bp1	ITGB1BP1	Integrin beta-1-binding protein 1
itgb1bp2	ITGB1BP2	Integrin beta-1-binding protein 2
itgb2	ITGB2	Integrin beta-2
itgb5	ITGB5	Integrin beta-5
itgb6	ITGB6	Integrin beta-6
itgb7	ITGB7	Integrin beta-7
itgbl1	ITGBL1	Integrin beta-like protein 1
itih1	ITIH1	Inter-alpha-trypsin inhibitor heavy chain H1
itih3	ITIH3	Inter-alpha-trypsin inhibitor heavy chain H3
itih4	ITIH4	Inter-alpha-trypsin inhibitor heavy chain H4
itih5	ITIH5	Inter-alpha-trypsin inhibitor heavy chain H5
itm2a	ITM2A	Integral membrane protein 2A
itpa	ITPA	Inosine triphosphate pyrophosphatase
itpr1	ITPR1	"Inositol 1,4,5-trisphosphate receptor type 1"
itprip	ITPRIP	"Inositol 1,4,5-trisphosphate receptor-interacting protein"
ivd	IVD	"Isovaleryl-CoA dehydrogenase, mitochondrial"
izumo1	IZUMO1	Izumo sperm-egg fusion protein 1
jam2	JAM2	Junctional adhesion molecule B
jam3	JAM3	Junctional adhesion molecule C
jchain	JCHAIN	Immunoglobulin J chain
jmjd1c	JMJD1C	Probable JmjC domain-containing histone demethylation protein 2C
jpt2	JPT2	Jupiter microtubule associated homolog 2
jun	JUN	Transcription factor AP-1
kazald1	KAZALD1	Kazal-type serine protease inhibitor domain-containing protein 1
kazn	KAZN	Kazrin
kcnc4	KCNC4	Potassium voltage-gated channel subfamily C member 4
kcnh2	KCNH2	Potassium voltage-gated channel subfamily H member 2
kcnip4	KCNIP4	Kv channel-interacting protein 4
kctd5	KCTD5	BTB/POZ domain-containing protein KCTD5
kdm3a	KDM3A	Lysine-specific demethylase 3A
kdr	KDR	Vascular endothelial growth factor receptor 2
kel	KEL	Kell blood group glycoprotein
khdc3l	KHDC3L	KH domain-containing protein 3
khk	KHK	Ketohexokinase
kiaa0319	KIAA0319	Dyslexia-associated protein KIAA0319
kiaa1549	KIAA1549	UPF0606 protein KIAA1549
kiaa1549l	KIAA1549L	UPF0606 protein KIAA1549L
kiaa2013	KIAA2013	Uncharacterized protein KIAA2013
kif1c	KIF1C	Kinesin-like protein KIF1C
kif20b	KIF20B	Kinesin-like protein KIF20B
kif22	KIF22	Kinesin-like protein KIF22
kifbp	KIFBP	KIF-binding protein
kir2dl2	KIR2DL2	Killer cell immunoglobulin-like receptor 2DL2
kir2dl3	KIR2DL3	Killer cell immunoglobulin-like receptor 2DL3
kir2ds4	KIR2DS4	Killer cell immunoglobulin-like receptor 2DS4
kir3dl1	KIR3DL1	Killer cell immunoglobulin-like receptor 3DL1
kir3dl2	KIR3DL2	Killer cell immunoglobulin-like receptor 3DL2
kirrel1	KIRREL1	Kin of IRRE-like protein 1
kirrel2	KIRREL2	Kin of IRRE-like protein 2
kit	KIT	Mast/stem cell growth factor receptor Kit
kitlg	KITLG	Kit ligand
klb	KLB	Beta-klotho
klf4	KLF4	Krueppel-like factor 4
klhl41	KLHL41	Kelch-like protein 41
klk1	KLK1	Kallikrein-1
klk10	KLK10	Kallikrein-10
klk11	KLK11	Kallikrein-11
klk12	KLK12	Kallikrein-12
klk13	KLK13	Kallikrein-13
klk14	KLK14	Kallikrein-14
klk15	KLK15	Kallikrein-15
klk3	KLK3	Prostate-specific antigen
klk4	KLK4	Kallikrein-4
klk6	KLK6	Kallikrein-6
klk7	KLK7	Kallikrein-7
klk8	KLK8	Kallikrein-8
klkb1	KLKB1	Plasma kallikrein
klrb1	KLRB1	Killer cell lectin-like receptor subfamily B member 1
klrc1	KLRC1	NKG2-A/NKG2-B type II integral membrane protein
klrd1	KLRD1	Natural killer cells antigen CD94
klrf1	KLRF1	Killer cell lectin-like receptor subfamily F member 1
klrk1	KLRK1	NKG2-D type II integral membrane protein
krt14	KRT14	"Keratin, type I cytoskeletal 14"
krt17	KRT17	"Keratin, type I cytoskeletal 17"
krt18	KRT18	"Keratin, type I cytoskeletal 18"
krt19	KRT19	"Keratin, type I cytoskeletal 19"
krt5	KRT5	"Keratin, type II cytoskeletal 5"
krt6c	KRT6C	"Keratin, type II cytoskeletal 6C"
krt8	KRT8	"Keratin, type II cytoskeletal 8"
kyat1	KYAT1	Kynurenine--oxoglutarate transaminase 1
kynu	KYNU	Kynureninase
l1cam	L1CAM	Neural cell adhesion molecule L1
l3hypdh	L3HYPDH	Trans-3-hydroxy-L-proline dehydratase
lacrt	LACRT	Extracellular glycoprotein lacritin
lactb2	LACTB2	Endoribonuclease LACTB2
lag3	LAG3	Lymphocyte activation gene 3 protein
lair1	LAIR1	Leukocyte-associated immunoglobulin-like receptor 1
lair2	LAIR2	Leukocyte-associated immunoglobulin-like receptor 2
lama1	LAMA1	Laminin subunit alpha-1
lama4	LAMA4	Laminin subunit alpha-4
lamb1	LAMB1	Laminin subunit beta-1
lamp1	LAMP1	Lysosome-associated membrane glycoprotein 1
lamp2	LAMP2	Lysosome-associated membrane glycoprotein 2
lamp3	LAMP3	Lysosome-associated membrane glycoprotein 3
lamtor5	LAMTOR5	Ragulator complex protein LAMTOR5
lap3	LAP3	Cytosol aminopeptidase
larp1	LARP1	La-related protein 1
lat	LAT	Linker for activation of T-cells family member 1
lat2	LAT2	Linker for activation of T-cells family member 2
lats1	LATS1	Serine/threonine-protein kinase LATS1
layn	LAYN	Layilin
lbp	LBP	Lipopolysaccharide-binding protein
lbr	LBR	Delta(14)-sterol reductase LBR
lcat	LCAT	Phosphatidylcholine-sterol acyltransferase
lcn15	LCN15	Lipocalin-15
lcn2	LCN2	Neutrophil gelatinase-associated lipocalin
lcp1	LCP1	Plastin-2
ldlr	LDLR	Low-density lipoprotein receptor
ldlrap1	LDLRAP1	Low density lipoprotein receptor adapter protein 1
lect2	LECT2	Leukocyte cell-derived chemotaxin-2
lefty2	LEFTY2	Left-right determination factor 2
leg1	LEG1	Protein LEG1 homolog
lelp1	LELP1	Late cornified envelope-like proline-rich protein 1
leo1	LEO1	RNA polymerase-associated protein LEO1
lep	LEP	Leptin
lepr	LEPR	Leptin receptor
letm1	LETM1	Mitochondrial proton/calcium exchanger protein
lgals1	LGALS1	Galectin-1
lgals3	LGALS3	Galectin-3
lgals3bp	LGALS3BP	Galectin-3-binding protein
lgals4	LGALS4	Galectin-4
lgals7_lgals7b	LGALS7_LGALS7B	Galectin-7
lgals8	LGALS8	Galectin-8
lgals9	LGALS9	Galectin-9
lgmn	LGMN	Legumain
lhb	LHB	Lutropin subunit beta
lhpp	LHPP	Phospholysine phosphohistidine inorganic pyrophosphate phosphatase
lif	LIF	Leukemia inhibitory factor
lifr	LIFR	Leukemia inhibitory factor receptor
lilra2	LILRA2	Leukocyte immunoglobulin-like receptor subfamily A member 2
lilra3	LILRA3	Leukocyte immunoglobulin-like receptor subfamily A member 3
lilra4	LILRA4	Leukocyte immunoglobulin-like receptor subfamily A member 4
lilra5	LILRA5	Leukocyte immunoglobulin-like receptor subfamily A member 5
lilra6	LILRA6	Leukocyte immunoglobulin-like receptor subfamily A member 6
lilrb1	LILRB1	Leukocyte immunoglobulin-like receptor subfamily B member 1
lilrb2	LILRB2	Leukocyte immunoglobulin-like receptor subfamily B member 2
lilrb4	LILRB4	Leukocyte immunoglobulin-like receptor subfamily B member 4
lilrb5	LILRB5	Leukocyte immunoglobulin-like receptor subfamily B member 5
lipf	LIPF	Gastric triacylglycerol lipase
lmnb1	LMNB1	Lamin-B1
lmnb2	LMNB2	Lamin-B2
lmod1	LMOD1	Leiomodin-1
lmod2	LMOD2	Leiomodin-2
lonp1	LONP1	"Lon protease homolog, mitochondrial"
lpa	LPA	Apolipoprotein(a)
lpcat2	LPCAT2	Lysophosphatidylcholine acyltransferase 2
lpl	LPL	Lipoprotein lipase
lpo	LPO	Lactoperoxidase
lpp	LPP	Lipoma-preferred partner
lrch4	LRCH4	Leucine-rich repeat and calponin homology domain-containing protein 4
lrfn2	LRFN2	Leucine-rich repeat and fibronectin type-III domain-containing protein 2
lrg1	LRG1	Leucine-rich alpha-2-glycoprotein
lrig1	LRIG1	Leucine-rich repeats and immunoglobulin-like domains protein 1
lrig3	LRIG3	Leucine-rich repeats and immunoglobulin-like domains protein 3
lrp1	LRP1	Prolow-density lipoprotein receptor-related protein 1
lrp11	LRP11	Low-density lipoprotein receptor-related protein 11
lrp2	LRP2	Low-density lipoprotein receptor-related protein 2
lrp2bp	LRP2BP	LRP2-binding protein
lrpap1	LRPAP1	Alpha-2-macroglobulin receptor-associated protein
lrrc25	LRRC25	Leucine-rich repeat-containing protein 25
lrrc37a2	LRRC37A2	Leucine-rich repeat-containing protein 37A2
lrrc38	LRRC38	Leucine-rich repeat-containing protein 38
lrrc59	LRRC59	Leucine-rich repeat-containing protein 59
